"CCSuid","CCSdguid","CCSname","CCSpop_2021","CCStdwell_2021","CCSurdwell_2021","CCSpop_2016","CCSpop_2016a","CCStdwell_2016a","CCSurdwell_2016a","CCSarea","CCSadj_2016","CCSir_2016","CCSir_2021","PRuid","CDcode","CCScode","ERcode"
"1001214","2021S05021001214","Division No.  1, Subd. C",6809,6298,3428,7405,7405,6955,3447,"4496.3563","0","0","0","10","01","214","10"
"1001259","2021S05021001259","Division No.  1, Subd. A",7907,4922,3731,8345,8345,5148,3697,"1478.2223","0","0","0","10","01","259","10"
"1001304","2021S05021001304","Division No.  1, Subd. E",16896,9397,7359,17044,17044,8979,7103,"930.4883","0","0","0","10","01","304","10"
"1001357","2021S05021001357","Division No.  1, Subd. H",15348,8426,6915,16256,16256,8147,6834,"555.5325","0","0","0","10","01","357","10"
"1001472","2021S05021001472","Holyrood",12612,8220,5583,12787,12787,8274,5296,"509.0562","0","0","0","10","01","472","10"
"1001519","2021S05021001519","St. John's",212306,97874,90162,208511,208511,93833,86243,"1134.9243","0","0","0","10","01","519","10"
"1002001","2021S05021002001","Division No.  2, Subd. E",19392,11551,8891,20372,20372,11497,8737,"5915.5695","0","0","0","10","02","001","20"
"1003001","2021S05021003001","Division No.  3, Subd. A",13920,8046,6342,15560,15560,8289,6773,"19272.1069","0","0","0","10","03","001","20"
"1004006","2021S05021004006","Division No.  4, Subd. B",19253,10900,9196,20387,20387,11338,9345,"7019.9723","0","0","0","10","04","006","30"
"1005007","2021S05021005007","Division No.  5, Subd. E",6046,3723,2692,6228,6228,3721,2645,"6240.0173","0","0","0","10","05","007","30"
"1005010","2021S05021005010","Division No.  5, Subd. F",34350,17152,15275,35786,35786,17203,15245,"4053.7444","0","0","0","10","05","010","30"
"1006014","2021S05021006014","Division No.  6, Subd. C",37339,19498,16489,38345,38345,19296,16434,"16043.3766","0","0","0","10","06","014","40"
"1007028","2021S05021007028","Division No.  7, Subd. F",18501,12402,8494,19519,19519,12375,8474,"6584.3601","0","0","0","10","07","028","40"
"1007031","2021S05021007031","Division No.  7, Subd. E",14543,7902,6373,14573,14573,7722,6097,"3014.0101","0","0","0","10","07","031","40"
"1008036","2021S05021008036","Division No.  8, Subd. G",22423,13870,10081,23794,23794,13807,10323,"3953.0368","0","0","0","10","08","036","40"
"1008058","2021S05021008058","Division No.  8, Subd. C",11517,7851,5304,12000,12000,8106,5264,"5281.9046","0","0","0","10","08","058","40"
"1009001","2021S05021009001","Division No.  9, Subd. F",14733,9366,6640,15607,15607,9346,6689,"13209.4758","0","0","0","10","09","001","30"
"1010001","2021S05021010001","Division No. 10, Subd. A",24332,10941,9518,24639,24639,10758,9193,"191691.0863","0","0","0","10","10","001","30"
"1011005","2021S05021011005","Division No. 11, Subd. C",1476,579,535,1433,1433,583,510,"26206.0399","0","0","0","10","11","005","30"
"1011040","2021S05021011040","Division No. 11, Subd. E",847,266,245,1125,1125,362,324,"40581.0927","0","0","0","10","11","040","30"
"1101005","2021S05021101005","Murray River, Part 1",2669,1432,1135,,2474,1384,1043,"223.0027","1","0","0","11","01","005","10"
"1101035","2021S05021101035","Souris",3911,2289,1675,,3888,2461,1630,"425.0134","1","0","0","11","01","035","10"
"1101037","2021S05021101037","St. Peters",1661,959,706,,1567,997,642,"325.7127","1","0","0","11","01","037","10"
"1101043","2021S05021101043","Morell",1628,1024,693,,1569,1024,657,"207.7404","1","0","0","11","01","043","10"
"1101045","2021S05021101045","Three Rivers",7883,3936,3246,,7169,3799,3062,"431.4717","1","0","0","11","01","045","10"
"1101052","2021S05021101052","East River, Part 2",575,308,223,,487,367,189,"74.642","1","0","0","11","01","052","10"
"1102002","2021S05021102002","Belfast",2107,1074,753,,1946,1139,746,"298.3571","1","0","0","11","02","002","10"
"1102010","2021S05021102010","Crossroads",13629,5784,5343,,12181,5111,4749,"103.8617","1","0","0","11","02","010","10"
"1102016","2021S05021102016","Vernon River",2499,971,887,,2256,929,818,"221.943","1","0","0","11","02","016","10"
"1102017","2021S05021102017","New Glasgow",5642,2863,2345,,5088,2668,2065,"271.374","1","0","0","11","02","017","10"
"1102018","2021S05021102018","Crapaud, Part 1",2064,1205,853,,1985,1176,789,"155.9872","1","0","0","11","02","018","10"
"1102022","2021S05021102022","Kingston",1725,683,647,,1700,667,621,"64.3137","1","0","0","11","02","022","10"
"1102040","2021S05021102040","Miltonvale Park",1196,501,484,,1158,496,488,"35.1262","1","0","0","11","02","040","10"
"1102045","2021S05021102045","Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",359,330,149,,318,338,129,"36.102","1","0","0","11","02","045","10"
"1102055","2021S05021102055","Brackley",923,375,360,,862,343,325,"30.3231","1","0","0","11","02","055","10"
