"TYPE","DESC","FDESC"
C,City / Cité,City / Cité
CC,Chartered community,Chartered community
CG,Community government,Community government
CN,Crown colony / Colonie de la couronne,Crown colony / Colonie de la couronne
CT,Canton (municipalité de),Canton (municipalité de)
CU,Cantons unis (municipalité de),Cantons unis (municipalité de)
CV,City / Ville,City / Ville
CY,City,City
DM,District municipality,District municipality
FD,Fire district,Fire district
GR,Gouvernement régional,Gouvernement régional
HAM,Hamlet,Hamlet
ID,Improvement district,Improvement district
IGD,Indian government district,Indian government district
IM,Island municipality,Island municipality
IRI,Indian reserve / Réserve indienne,Indian reserve / Réserve indienne
LGD,Local government district,Local government district
M,Municipality / Municipalité,Municipality / Municipalité
MD,Municipal district,Municipal district
MRM,Regional municipality / Municipalité regionale,Regional municipality / Municipalité regionale
MÉ,Municipalité,Municipalité
MU,Municipality,Municipality
NH,Northern hamlet,Northern hamlet
NL,Nisga'a land,Nisga'a land
NO,Unorganized / Non organisé,Unorganized / Non organisé
NV,Northern village,Northern village
P,Parish / Paroisse (municipalité de),Parish / Paroisse (municipalité de)
PE,Paroisse (municipalité de),Paroisse (municipalité de)
RCR,Rural community / Communauté rurale,Rural community / Communauté rurale
RDA,Regional district electoral area,Regional district electoral area
RGM,Regional municipality,Regional municipality
RM,Rural municipality,Rural municipality
RV,Resort village,Resort village
RMU,Resort municipality,Resort municipality
S-É,Indian settlement / Établissement indien,Indian settlement / Établissement indien
SA,Special area,Special area
SC,Subdivision of county municipality / Subdivision municipalité de comté,Subdivision of county municipality / Subdivision municipalité de comté
SÉ,Settlement / Établissement,Settlement / Établissement
SET,Settlement,Settlement
SG,Self-government / Autonomie gouvernementale,Self-government / Autonomie gouvernementale
SM,Specialized municipality,Specialized municipality
SNO,Subdivision of unorganized / Subdivision non organisée,Subdivision of unorganized / Subdivision non organisée
SV,Summer village,Summer village
T,Town,Town
TAL,Tla'amin Lands,Tla'amin Lands
TC,Terres réservées aux Cris,Terres réservées aux Cris
TI,Terre inuite,Terre inuite
TK,Terres réservées aux Naskapis,Terres réservées aux Naskapis
TL,Teslin land,Teslin land
TP,Township,Township
TV,Town / Ville,Town / Ville
TWL,Tsawwassen Lands,Tsawwassen Lands
V,Ville,Ville
VC,Village cri,Village cri
VK,Village naskapi,Village naskapi
VL,Village,Village
VN,Village nordique,Village nordique
