"CTuid","CTdguid","CTname","CTpop_2021","CTtdwell_2021","CTurdwell_2021","CTpop_2016","CTpop_2016a","CTtdwell_2016a","CTurdwell_2016a","CTarea","CTadj","CTir_2016","CTir_2021","PRuid","CMAcode","CTcode"
"0010001.00","2021S05070010001.00","0001.00",1643,764,705,1734,1734,719,698,"10.1472","0","0","0","10","001","2449"
"0010002.00","2021S05070010002.00","0002.00",4451,2271,2066,4538,4538,2318,2131,"1.9638","0","0","0","10","001","0002"
"0010003.01","2021S05070010003.01","0003.01",4151,2298,2061,4223,4223,2144,1931,"1.6158","0","0","0","10","001","4431"
"0010003.02","2021S05070010003.02","0003.02",4666,2479,2268,4710,4710,2418,2225,"1.9715","0","0","0","10","001","4432"
"0010004.01","2021S05070010004.01","0004.01",4040,2206,1955,,3776,2048,1804,"5.8496","1","0","0","10","001","6437"
"0010004.02","2021S05070010004.02","0004.02",4231,2092,1945,,4117,1986,1830,"3.3487","1","0","0","10","001","6438"
"0010005.01","2021S05070010005.01","0005.01",2217,1351,1219,2313,2313,1331,1251,"0.9685","0","0","0","10","001","2452"
"0010005.02","2021S05070010005.02","0005.02",3138,1738,1574,3227,3227,1741,1551,"0.9833","0","0","0","10","001","2453"
"0010006.00","2021S05070010006.00","0006.00",2748,1842,1545,2904,2904,1826,1555,"1.0467","0","0","0","10","001","0006"
"0010007.00","2021S05070010007.00","0007.00",2395,1672,1380,2172,2172,1528,1216,"0.5364","0","0","0","10","001","0007"
"0010008.00","2021S05070010008.00","0008.00",1551,982,828,1596,1596,978,831,"2.4762","0","0","0","10","001","0008"
"0010009.00","2021S05070010009.00","0009.00",836,255,235,509,509,251,230,"0.5492","0","0","0","10","001","0009"
"0010010.00","2021S05070010010.00","0010.00",1672,922,836,1732,1732,922,814,"0.6352","0","0","0","10","001","0010"
"0010011.00","2021S05070010011.00","0011.00",2644,1478,1332,2672,2672,1454,1305,"0.5014","0","0","0","10","001","0011"
"0010012.00","2021S05070010012.00","0012.00",2724,1329,1165,2620,2620,1322,1125,"1.4331","0","0","0","10","001","0012"
"0010013.00","2021S05070010013.00","0013.00",1758,846,767,1742,1742,851,762,"0.9133","0","0","0","10","001","0013"
"0010014.00","2021S05070010014.00","0014.00",3328,1535,1399,3358,3358,1545,1407,"1.5196","0","0","0","10","001","0014"
"0010015.01","2021S05070010015.01","0015.01",5000,2523,2342,4486,4486,2370,2187,"10.0908","0","0","0","10","001","2454"
"0010015.02","2021S05070010015.02","0015.02",3478,1689,1596,3763,3763,1706,1620,"1.3081","0","0","0","10","001","2455"
"0010015.03","2021S05070010015.03","0015.03",5138,2189,2054,5331,5331,2189,2054,"2.91","0","0","0","10","001","3047"
"0010015.04","2021S05070010015.04","0015.04",5725,2336,2245,5840,5840,2313,2215,"3.1254","0","0","0","10","001","4433"
"0010016.01","2021S05070010016.01","0016.01",4956,2096,1971,4672,4672,2054,1843,"6.5908","0","0","0","10","001","4603"
"0010016.02","2021S05070010016.02","0016.02",5422,2719,2343,5183,5183,2746,2271,"19.9496","0","0","0","10","001","4604"
