"TYPE","DESC","FDESC"
CFA,Class IV area,Class IV area
CS,Cluster subdivision,Cluster subdivision
DMU,Dissolved municipality,Dissolved municipality
DPL,Designated place,Designated place
FLG,Former local government / Ancien gouvernement local,Former local government / Ancien gouvernement local
IPL,Interim Protected Land,Interim Protected Land
IRI,Indian reserve / Réserve indienne,Indian reserve / Réserve indienne
IST,Island trust,Island trust
LNC,Localité non constituée,Localité non constituée
LSB,Local service board,Local service board
LSD,Local service district / District de services locaux,Local service district / District de services locaux
LUD,Local urban district,Local urban district
MDI,Municipalité dissoute,Municipalité dissoute
MDP,Municipal defined places,Municipal defined places
MET,Métis settlement,Métis settlement
NCM,Northern community,Northern community
NS,Northern settlement,Northern settlement
NVL,Nisga'a village,Nisga'a village
OHM,Organized hamlet,Organized hamlet
RPC,Retired population centre / Centre de population retiré,Retired population centre / Centre de population retiré
RS,Resort subdivision,Resort subdivision
SE,Aboriginal settlement,Aboriginal settlement
UNP,Unincorporated place,Unincorporated place
UUC,Unincorporated urban centre,Unincorporated urban centre
