"FEDuid","FEDdguid","FEDname","FEDpop_2021","FEDtdwell_2021","FEDurdwell_2021","FEDpop_2016","FEDpop_2016a","FEDtdwell_2016a","FEDurdwell_2016a","FEDarea","FEDadj_2016","FEDir_2016","FEDir_2021","PRuid","FEDcode"
"10001","2013A000410001","Avalon",87191,45074,36622,86494,86559,44066,34799,"6357.2457","1","0","0","10","001"
"10002","2013A000410002","Bonavista--Burin--Trinity",71898,44131,32663,74116,74051,43544,31746,"16529.4593","1","0","0","10","002"
"10003","2013A000410003","Coast of Bays--Central--Notre Dame",74201,42892,33149,77680,77680,42939,33459,"38674.0098","0","0","0","10","003"
"10004","2013A000410004","Labrador",26655,11786,10298,27197,27197,11703,10027,"258539.4032","0","0","0","10","004"
"10005","2013A000410005","Long Range Mountains",81716,45367,37241,86553,86553,46159,37779,"37319.1682","0","0","0","10","005"
"10006","2013A000410006","St. John's East / St. John's-Est",87345,40299,36756,85697,85697,39038,35505,"328.3804","0","0","0","10","006"
"10007","2013A000410007","St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl",81544,39635,36524,81979,81979,38290,35358,"422.7065","0","0","0","10","007"
"11001","2013A000411001","Cardigan",39866,19420,15977,36615,36615,18829,14748,"2547.6394","0","0","0","11","001"
"11002","2013A000411002","Charlottetown",38809,18364,17184,36094,36094,17193,16100,"44.2714","0","0","0","11","002"
"11003","2013A000411003","Egmont",35925,17178,15313,34168,34168,16457,14299,"1482.8642","0","0","0","11","003"
"11004","2013A000411004","Malpeque",39731,19972,16096,36030,36030,18640,14325,"1606.404","0","0","0","11","004"
"12001","2013A000412001","Cape Breton--Canso",71380,38033,31937,71913,71913,37977,31246,"8733.0748","0","0","0","12","001"
"12002","2013A000412002","Central Nova / Nova-Centre",73188,38290,32904,71962,71962,38651,31579,"9280.9526","0","0","0","12","002"
"12003","2013A000412003","Cumberland--Colchester",82014,44001,37195,80590,80590,43823,35843,"7903.2709","0","0","0","12","003"
"12004","2013A000412004","Dartmouth--Cole Harbour",96165,44483,43101,92301,92301,43297,40921,"89.9908","0","0","0","12","004"
"12005","2013A000412005","Halifax",107010,55199,51036,94610,94610,50905,45136,"214.5755","0","0","0","12","005"
"12006","2013A000412006","Halifax West / Halifax-Ouest",111944,48506,46789,96255,96255,42370,40438,"227.3079","0","0","0","12","006"
"12007","2013A000412007","Kings--Hants",87744,40910,37810,83465,83465,38917,35202,"4117.4598","0","0","0","12","007"
"12008","2013A000412008","Sackville--Preston--Chezzetcook",89524,35909,34994,86498,86498,34355,33205,"645.1755","0","0","0","12","008"
"12009","2013A000412009","South Shore--St. Margarets",94482,51034,42508,91830,91830,49931,40529,"8461.6303","0","0","0","12","009"
"12010","2013A000412010","Sydney--Victoria",72361,36058,32179,72148,72148,35210,31485,"4282.0898","0","0","0","12","010"
"12011","2013A000412011","West Nova / Nova-Ouest",83571,43584,37775,82026,82026,43132,36406,"8869.1804","0","0","0","12","011"
"13001","2013A000413001","Acadie--Bathurst",77594,39015,35651,77791,77791,38754,34544,"5052.8107","0","0","0","13","001"
"13002","2013A000413002","Beauséjour",88797,42097,37401,82292,82292,40844,34287,"3991.6049","0","0","0","13","002"
"13003","2013A000413003","Fredericton",87436,40280,38105,83303,83303,38988,35505,"1499.2551","0","0","0","13","003"
"13004","2013A000413004","Fundy Royal",83721,35970,33717,79943,79943,34819,31562,"7225.647","0","0","0","13","004"
"13005","2013A000413005","Madawaska--Restigouche",60184,29575,27626,60378,60378,29362,27037,"11681.7316","0","0","0","13","005"
"13006","2013A000413006","Miramichi--Grand Lake",57520,28248,25593,57405,57405,28248,24937,"16837.2377","0","0","0","13","006"
"13007","2013A000413007","Moncton--Riverview--Dieppe",101237,47352,44788,92666,92666,45200,41366,"154.6821","0","0","0","13","007"
"13008","2013A000413008","New Brunswick Southwest / Nouveau-Brunswick-Sud-Ouest",67781,32644,28515,65287,65287,32907,27100,"9885.7009","0","0","0","13","008"
"13009","2013A000413009","Saint John--Rothesay",81996,38980,36756,79363,79363,38678,34899,"390.3696","0","0","0","13","009"
"13010","2013A000413010","Tobique--Mactaquac",69344,31985,29499,68673,68673,31921,28536,"14529.4585","0","0","0","13","010"
"24001","2013A000424001","Abitibi--Baie-James--Nunavik--Eeyou",89087,38269,34191,87787,87787,36403,32713,"731401.359","0","0","0","24","001"
"24002","2013A000424002","Abitibi--Témiscamingue",103735,51561,46773,103491,103491,50987,45535,"33230.9045","0","0","0","24","002"
"24003","2013A000424003","Ahuntsic-Cartierville",118170,55547,52259,117447,117447,54073,50908,"21.6765","0","0","0","24","003"
"24004","2013A000424004","Alfred-Pellan",102020,39389,38442,101373,101373,39078,37948,"113.4089","0","0","0","24","004"
"24005","2013A000424005","Argenteuil--La Petite-Nation",102311,58559,46623,95781,95781,56597,42508,"4890.2555","0","0","0","24","005"
"24006","2013A000424006","Avignon--La Mitis--Matane--Matapédia",70253,37811,33418,71897,71897,38122,33093,"14433.2006","0","0","1","24","006"
"24007","2013A000424007","Beauce",111034,51239,48360,108746,108746,49103,46173,"4100.9703","0","0","0","24","007"
"24008","2013A000424008","Beauport--Limoilou",96064,53234,50294,96029,96029,50918,48440,"33.348","0","0","0","24","008"
"24009","2013A000424009","Bécancour--Nicolet--Saurel",96439,47404,44667,94588,94588,46417,42919,"2743.2389","0","0","0","24","009"
"24010","2013A000424010","Bellechasse--Les Etchemins--Lévis",120179,59143,54804,114966,114966,55658,51114,"3201.1059","0","0","0","24","010"
"24011","2013A000424011","Beloeil--Chambly",125359,51769,50740,117343,117343,47816,46569,"377.6818","0","0","0","24","011"
"24012","2013A000424012","Berthier--Maskinongé",105280,52753,47250,100371,100371,50785,43965,"4114.682","0","0","0","24","012"
"24013","2013A000424013","Thérèse-De Blainville",106013,43868,42761,101840,101840,41060,40115,"74.7159","0","0","0","24","013"
"24014","2013A000424014","Pierre-Boucher--Les Patriotes--Verchères",103020,43082,42080,99787,99850,40903,40000,"685.1608","1","0","0","24","014"
"24015","2013A000424015","Bourassa",105637,47119,44587,101032,101032,46646,43115,"13.5386","0","0","0","24","015"
"24016","2013A000424016","Brome--Missisquoi",113913,63116,52578,103457,103457,58935,46577,"2779.1245","0","0","0","24","016"
"24017","2013A000424017","Brossard--Saint-Lambert",114286,48333,46437,107582,107582,44695,43071,"52.7538","0","0","0","24","017"
"24018","2013A000424018","Rimouski-Neigette--Témiscouata--Les Basques",85556,45434,40593,84918,84918,44774,39005,"7724.4423","0","0","0","24","018"
"24019","2013A000424019","Charlesbourg--Haute-Saint-Charles",109690,50564,48999,107254,107254,48289,47067,"111.2947","0","0","0","24","019"
"24020","2013A000424020","Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix",95736,48267,42122,93674,93674,46564,39947,"11115.8125","0","0","0","24","020"
"24021","2013A000424021","Châteauguay--Lacolle",105111,42163,40946,97887,97887,39798,38514,"903.4854","0","0","0","24","021"
"24022","2013A000424022","Chicoutimi--Le Fjord",80593,40992,38341,81639,81639,40419,37628,"2534.5358","0","0","0","24","022"
"24023","2013A000424023","Compton--Stanstead",111088,51186,46650,105459,105459,48816,43646,"4554.8251","0","0","0","24","023"
"24024","2013A000424024","Dorval--Lachine--LaSalle",119395,55176,52376,112866,112871,53005,49212,"49.704","1","0","0","24","024"
"24025","2013A000424025","Drummond",107967,50285,48416,103397,103397,47581,45334,"1599.0957","0","0","0","24","025"
"24026","2013A000424026","Gaspésie--Les Îles-de-la-Madeleine",75927,39734,35792,75850,75850,39120,34361,"16783.8641","0","0","0","24","026"
"24027","2013A000424027","Gatineau",107286,48373,46454,107464,107464,47576,45549,"118.7914","0","0","0","24","027"
"24028","2013A000424028","Hochelaga",108264,59579,56079,106496,106496,58438,54561,"19.5716","0","0","0","24","028"
"24029","2013A000424029","Honoré-Mercier",104578,43289,41952,103592,103592,42888,41529,"37.7117","0","0","0","24","029"
"24030","2013A000424030","Hull--Aylmer",110881,54238,50529,105419,105419,52089,47943,"62.449","0","0","0","24","030"
"24031","2013A000424031","Joliette",112418,63237,52286,104136,104136,59537,47067,"8124.0386","0","0","0","24","031"
"24032","2013A000424032","Jonquière",91073,44500,40983,89818,89818,43362,39306,"37641.5893","0","0","0","24","032"
"24033","2013A000424033","La Pointe-de-l'Île",110486,51896,49890,106336,106336,49814,47453,"41.4438","0","0","0","24","033"
"24034","2013A000424034","La Prairie",114968,46220,45274,105496,105496,41471,40628,"277.5238","0","1","1","24","034"
"24035","2013A000424035","Lac-Saint-Jean",103886,52839,47080,104911,104911,51903,45860,"55366.5702","0","0","0","24","035"
