"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"100046",,"Bay Roberts","4","2",6897.00,3184.00,2888.00,7100.00,6896.00,3039.00,2776.00,"16.8842","1","0","0","10",,
"100072",,"Bishop's Falls","4","2",3006.00,1498.00,1386.00,2581.00,3087.00,1472.00,1366.00,"6.8927","1","0","0","10",,
"100082",,"Bonavista","4","2",2979.00,1628.00,1379.00,3140.00,3140.00,1616.00,1407.00,"4.3613","0","0","0","10",,
"100084",,"Botwood","4","2",2741.00,1374.00,1237.00,2763.00,2819.00,1281.00,1208.00,"5.5436","1","0","0","10",,
"100107",,"Burgeo","4","2",1176.00,659.00,570.00,1307.00,1307.00,655.00,615.00,"2.0758","0","0","0","10",,
"100136",,"Carbonear","4","2",6235.00,3118.00,2829.00,6520.00,6613.00,3062.00,2790.00,"11.155","1","0","0","10",,
"100155",,"Channel-Port aux Basques","4","2",3127.00,1644.00,1500.00,3665.00,3665.00,1797.00,1697.00,"5.1668","0","0","0","10",,
"100182",,"Clarenville-Shoal Harbour","4","2",6143.00,2854.00,2573.00,5809.00,5828.00,2613.00,2329.00,"12.4608","1","0","0","10",,
"100204",,"Corner Brook","1","2",19129.00,9451.00,8775.00,19547.00,19546.00,9265.00,8655.00,"21.6044","1","0","0","10",,"015"
"100219",,"Deer Lake","4","2",4346.00,2066.00,1920.00,4602.00,4632.00,2017.00,1906.00,"8.2029","1","0","0","10",,
"100311",,"Gander","1","2",9918.00,4604.00,4285.00,10220.00,10220.00,4593.00,4347.00,"13.6378","0","0","0","10",,"011"
"100329",,"Grand Bank","4","2",2071.00,1136.00,1011.00,2230.00,2230.00,1128.00,1022.00,"2.2397","0","0","0","10",,
"100332",,"Grand Falls-Windsor","1","2",11986.00,5816.00,5372.00,12046.00,12519.00,5761.00,5459.00,"12.3415","1","0","0","10",,"010"
"100354",,"Happy Valley-Goose Bay","4","2",6996.00,2936.00,2698.00,6408.00,6678.00,2699.00,2525.00,"10.1695","1","0","0","10",,
"100438",,"Labrador City","4","2",9011.00,4075.00,3720.00,8622.00,8763.00,4262.00,3506.00,"14.4951","1","0","0","10",,
"100469",,"Lewisporte","4","2",2064.00,1002.00,889.00,2174.00,2179.00,979.00,911.00,"2.3348","1","0","0","10",,
"100509",,"Marystown","4","2",2671.00,1355.00,1219.00,2697.00,2702.00,1273.00,1160.00,"5.705","1","0","0","10",,
"100778",,"Springdale","4","2",2182.00,1081.00,980.00,2080.00,2178.00,991.00,941.00,"3.7646","1","0","0","10",,
"100786",,"St. Anthony","4","2",1986.00,943.00,842.00,2049.00,2049.00,940.00,832.00,"4.5243","0","0","0","10",,
"100792",,"St. John's","1","4",185565.00,86189.00,79537.00,178427.00,181955.00,82786.00,76017.00,"178.0024","1","0","0","10",,"001"
"100888",,"Stephenville","4","2",7344.00,3685.00,3488.00,7114.00,7271.00,3581.00,3376.00,"15.4762","1","0","0","10",,
"100889",,"Stephenville Crossing","4","2",1038.00,517.00,475.00,,941.00,501.00,461.00,"1.3977","1","0","0","10",,
"100994",,"Wabana","4","2",1091.00,700.00,558.00,1325.00,1325.00,706.00,626.00,"2.5252","0","0","0","10",,
"101203",,"Pasadena","2","2",2769.00,1268.00,1193.00,2800.00,2800.00,1243.00,1163.00,"3.5412","0","0","0","10",,"015"
"101444",,"Massey Drive","2","2",1606.00,670.00,626.00,1632.00,1632.00,624.00,610.00,"2.4517","0","0","0","10",,"015"
"101575",,"Placentia","4","2",1338.00,761.00,638.00,1553.00,1374.00,784.00,640.00,"2.6236","1","0","0","10",,
"101577",,"Sheshatshiu","4","2",1049.00,331.00,299.00,,1272.00,310.00,279.00,"1.6052","1","0","0","10",,
"110159",,"Charlottetown","1","3",52390.00,24116.00,22617.00,44739.00,48054.00,22066.00,20762.00,"57.561","1","0","0","11",,"105"
"110407",,"Kensington","4","2",1743.00,865.00,834.00,1562.00,1618.00,779.00,747.00,"2.7427","1","0","0","11",,
"110544",,"Montague","4","2",1896.00,931.00,850.00,1834.00,1834.00,866.00,819.00,"2.0678","0","0","0","11",,
"110905",,"Summerside","1","2",14952.00,6924.00,6643.00,13814.00,13969.00,6565.00,6157.00,"16.9676","1","0","0","11",,"110"
"120012",,"Amherst","4","2",9548.00,4866.00,4545.00,9550.00,9550.00,4815.00,4440.00,"12.3766","0","0","0","12",,
"120019",,"Antigonish","4","2",5620.00,3212.00,2664.00,5002.00,5079.00,2949.00,2316.00,"5.8808","1","0","0","12",,
"120069",,"Berwick","4","2",2455.00,1087.00,1050.00,2449.00,2517.00,1076.00,1051.00,"4.3059","1","0","0","12",,
"120096",,"Bridgewater","4","2",8790.00,4493.00,4260.00,8532.00,8532.00,4299.00,4077.00,"13.629","0","0","0","12",,
"120171",,"Chester","4","2",1371.00,840.00,674.00,1458.00,1362.00,911.00,660.00,"3.2297","1","0","0","12",,
"120229",,"Digby","4","2",2001.00,1133.00,1030.00,2060.00,2060.00,1145.00,1036.00,"3.1563","0","0","0","12",,
"120318",,"Glace Bay","2","2",16915.00,8320.00,7680.00,17556.00,17604.00,8357.00,7799.00,"31.186","1","0","0","12",,"225"
"120348",,"Halifax","1","4",348634.00,162336.00,154883.00,316701.00,317334.00,150569.00,140190.00,"238.2907","1","0","0","12",,"205"
"120353",,"Hantsport","4","2",1542.00,735.00,703.00,1560.00,1560.00,713.00,684.00,"2.8941","0","0","0","12",,
"120390",,"Inverness","4","2",1228.00,633.00,562.00,1248.00,1248.00,620.00,532.00,"2.7297","0","0","0","12",,
"120408",,"Kentville","1","2",14905.00,7015.00,6766.00,12088.00,14449.00,6768.00,6435.00,"27.9812","1","0","0","12",,"210"
"120416",,"Kingston - Greenwood","4","2",7118.00,3167.00,3017.00,6879.00,6879.00,3056.00,2854.00,"17.2199","0","0","0","12",,
"120477",,"Liverpool","4","2",2546.00,1339.00,1239.00,2549.00,2549.00,1333.00,1229.00,"3.5934","0","0","0","12",,
"120490",,"Lunenburg","4","2",2405.00,1232.00,1085.00,2085.00,2262.00,1198.00,1034.00,"3.3512","1","0","0","12",,
"120530",,"Middleton","4","2",1429.00,738.00,694.00,1391.00,1391.00,751.00,667.00,"2.7198","0","0","0","12",,
"120577",,"New Glasgow","1","2",19316.00,9537.00,8917.00,18665.00,19137.00,9422.00,8623.00,"29.8163","1","0","0","12",,"220"
"120581",,"New Waterford","2","2",6723.00,3414.00,3196.00,7344.00,7416.00,3554.00,3349.00,"9.2307","1","0","0","12",,"225"
"120642",,"Pictou","4","2",2643.00,1377.00,1238.00,2711.00,2711.00,1404.00,1246.00,"4.3471","0","0","0","12",,
"120661",,"Port Hawkesbury","4","2",2998.00,1441.00,1335.00,3004.00,3004.00,1471.00,1263.00,"4.9988","0","0","0","12",,
"120754",,"Shelburne","4","2",1439.00,821.00,708.00,1330.00,1483.00,792.00,708.00,"2.6019","1","0","0","12",,
"120779",,"Springhill","4","2",2654.00,1361.00,1235.00,2743.00,2743.00,1427.00,1257.00,"4.842","0","0","0","12",,
"120913",,"Cape Breton - Sydney","1","3",30960.00,15043.00,14070.00,29904.00,30170.00,14599.00,13544.00,"30.9134","1","0","0","12",,"225"
"120914",,"Sydney Mines","2","2",12353.00,5940.00,5552.00,12823.00,12823.00,5913.00,5611.00,"18.1081","0","0","0","12",,"225"
"120955",,"Truro","1","2",23583.00,11368.00,10884.00,22954.00,23205.00,11373.00,10590.00,"31.5152","1","0","0","12",,"215"
"121030",,"Windsor","4","2",5514.00,2549.00,2416.00,5248.00,5248.00,2367.00,2214.00,"10.5629","0","0","0","12",,
"121037",,"Wolfville","4","2",5057.00,2856.00,2441.00,4195.00,4195.00,2585.00,1972.00,"6.4557","0","0","0","12",,
"121043",,"Yarmouth","4","2",7848.00,4004.00,3668.00,7217.00,7527.00,3890.00,3511.00,"16.8111","1","0","0","12",,
"121267",,"Lake Echo","2","2",2365.00,1031.00,1008.00,2515.00,2515.00,1075.00,1041.00,"4.7633","0","0","0","12",,"205"
"121343",,"Hayes Subdivision","4","2",1044.00,435.00,429.00,1121.00,1121.00,437.00,434.00,"1.0975","0","0","0","12",,
"121353",,"Brookside","2","2",1439.00,579.00,562.00,1441.00,1441.00,567.00,548.00,"2.8107","0","0","0","12",,"205"
"121394",,"Still Water Lake","2","2",3379.00,1153.00,1138.00,1586.00,3447.00,1142.00,1122.00,"8.2267","1","0","0","12",,"205"
"121446",,"Centreville","2","2",1159.00,511.00,500.00,1129.00,1129.00,491.00,478.00,"2.3645","0","0","0","12",,"210"
"121447",,"Enfield - Lantz","2","2",6583.00,2806.00,2724.00,6807.00,6807.00,2776.00,2698.00,"11.674","0","0","0","12",,"205"
"121449",,"Eskasoni 3","2","2",2575.00,812.00,776.00,2120.00,2352.00,748.00,711.00,"5.7011","1","0","0","12",,"225"
"121450",,"Port Williams","2","2",1030.00,450.00,433.00,1120.00,1120.00,461.00,452.00,"1.9154","0","0","0","12",,"210"
