"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","POPCTRRAuid","XPRuid","CMAuid"
"100046",,"Bay Roberts","4","2",6897,3184,2888,7100,6896,3039,2776,"16.8842","1","0","0","10","0046",,
"100072",,"Bishop's Falls","4","2",3006,1498,1386,2581,3087,1472,1366,"6.8927","1","0","0","10","0072",,
"100082",,"Bonavista","4","2",2979,1628,1379,3140,3140,1616,1407,"4.3613","0","0","0","10","0082",,
"100084",,"Botwood","4","2",2741,1374,1237,2763,2819,1281,1208,"5.5436","1","0","0","10","0084",,
"100107",,"Burgeo","4","2",1176,659,570,1307,1307,655,615,"2.0758","0","0","0","10","0107",,
"100136",,"Carbonear","4","2",6235,3118,2829,6520,6613,3062,2790,"11.155","1","0","0","10","0136",,
"100155",,"Channel-Port aux Basques","4","2",3127,1644,1500,3665,3665,1797,1697,"5.1668","0","0","0","10","0155",,
"100182",,"Clarenville-Shoal Harbour","4","2",6143,2854,2573,5809,5828,2613,2329,"12.4608","1","0","0","10","0182",,
"100204",,"Corner Brook","1","2",19129,9451,8775,19547,19546,9265,8655,"21.6044","1","0","0","10","0204",,"015"
"100219",,"Deer Lake","4","2",4346,2066,1920,4602,4632,2017,1906,"8.2029","1","0","0","10","0219",,
"100311",,"Gander","1","2",9918,4604,4285,10220,10220,4593,4347,"13.6378","0","0","0","10","0311",,"011"
"100329",,"Grand Bank","4","2",2071,1136,1011,2230,2230,1128,1022,"2.2397","0","0","0","10","0329",,
"100332",,"Grand Falls-Windsor","1","2",11986,5816,5372,12046,12519,5761,5459,"12.3415","1","0","0","10","0332",,"010"
"100354",,"Happy Valley-Goose Bay","4","2",6996,2936,2698,6408,6678,2699,2525,"10.1695","1","0","0","10","0354",,
"100438",,"Labrador City","4","2",9011,4075,3720,8622,8763,4262,3506,"14.4951","1","0","0","10","0438",,
"100469",,"Lewisporte","4","2",2064,1002,889,2174,2179,979,911,"2.3348","1","0","0","10","0469",,
"100509",,"Marystown","4","2",2671,1355,1219,2697,2702,1273,1160,"5.705","1","0","0","10","0509",,
"100778",,"Springdale","4","2",2182,1081,980,2080,2178,991,941,"3.7646","1","0","0","10","0778",,
"100786",,"St. Anthony","4","2",1986,943,842,2049,2049,940,832,"4.5243","0","0","0","10","0786",,
"100792",,"St. John's","1","4",185565,86189,79537,178427,181955,82786,76017,"178.0024","1","0","0","10","0792",,"001"
"100888",,"Stephenville","4","2",7344,3685,3488,7114,7271,3581,3376,"15.4762","1","0","0","10","0888",,
"100889",,"Stephenville Crossing","4","2",1038,517,475,,941,501,461,"1.3977","1","0","0","10","0889",,
"100994",,"Wabana","4","2",1091,700,558,1325,1325,706,626,"2.5252","0","0","0","10","0994",,
"101203",,"Pasadena","2","2",2769,1268,1193,2800,2800,1243,1163,"3.5412","0","0","0","10","1203",,"015"
"101444",,"Massey Drive","2","2",1606,670,626,1632,1632,624,610,"2.4517","0","0","0","10","1444",,"015"
"101575",,"Placentia","4","2",1338,761,638,1553,1374,784,640,"2.6236","1","0","0","10","1575",,
"101577",,"Sheshatshiu","4","2",1049,331,299,,1272,310,279,"1.6052","1","0","0","10","1577",,
"110159",,"Charlottetown","1","3",52390,24116,22617,44739,48054,22066,20762,"57.561","1","0","0","11","0159",,"105"
"110407",,"Kensington","4","2",1743,865,834,1562,1618,779,747,"2.7427","1","0","0","11","0407",,
"110544",,"Montague","4","2",1896,931,850,1834,1834,866,819,"2.0678","0","0","0","11","0544",,
"110905",,"Summerside","1","2",14952,6924,6643,13814,13969,6565,6157,"16.9676","1","0","0","11","0905",,"110"
"120012",,"Amherst","4","2",9548,4866,4545,9550,9550,4815,4440,"12.3766","0","0","0","12","0012",,
"120019",,"Antigonish","4","2",5620,3212,2664,5002,5079,2949,2316,"5.8808","1","0","0","12","0019",,
"120069",,"Berwick","4","2",2455,1087,1050,2449,2517,1076,1051,"4.3059","1","0","0","12","0069",,
"120096",,"Bridgewater","4","2",8790,4493,4260,8532,8532,4299,4077,"13.629","0","0","0","12","0096",,
"120171",,"Chester","4","2",1371,840,674,1458,1362,911,660,"3.2297","1","0","0","12","0171",,
"120229",,"Digby","4","2",2001,1133,1030,2060,2060,1145,1036,"3.1563","0","0","0","12","0229",,
"120318",,"Glace Bay","2","2",16915,8320,7680,17556,17604,8357,7799,"31.186","1","0","0","12","0318",,"225"
"120348",,"Halifax","1","4",348634,162336,154883,316701,317334,150569,140190,"238.2907","1","0","0","12","0348",,"205"
"120353",,"Hantsport","4","2",1542,735,703,1560,1560,713,684,"2.8941","0","0","0","12","0353",,
"120390",,"Inverness","4","2",1228,633,562,1248,1248,620,532,"2.7297","0","0","0","12","0390",,
"120408",,"Kentville","1","2",14905,7015,6766,12088,14449,6768,6435,"27.9812","1","0","0","12","0408",,"210"
"120416",,"Kingston - Greenwood","4","2",7118,3167,3017,6879,6879,3056,2854,"17.2199","0","0","0","12","0416",,
"120477",,"Liverpool","4","2",2546,1339,1239,2549,2549,1333,1229,"3.5934","0","0","0","12","0477",,
"120490",,"Lunenburg","4","2",2405,1232,1085,2085,2262,1198,1034,"3.3512","1","0","0","12","0490",,
"120530",,"Middleton","4","2",1429,738,694,1391,1391,751,667,"2.7198","0","0","0","12","0530",,
"120577",,"New Glasgow","1","2",19316,9537,8917,18665,19137,9422,8623,"29.8163","1","0","0","12","0577",,"220"
"120581",,"New Waterford","2","2",6723,3414,3196,7344,7416,3554,3349,"9.2307","1","0","0","12","0581",,"225"
"120642",,"Pictou","4","2",2643,1377,1238,2711,2711,1404,1246,"4.3471","0","0","0","12","0642",,
"120661",,"Port Hawkesbury","4","2",2998,1441,1335,3004,3004,1471,1263,"4.9988","0","0","0","12","0661",,
"120754",,"Shelburne","4","2",1439,821,708,1330,1483,792,708,"2.6019","1","0","0","12","0754",,
"120779",,"Springhill","4","2",2654,1361,1235,2743,2743,1427,1257,"4.842","0","0","0","12","0779",,
"120913",,"Cape Breton - Sydney","1","3",30960,15043,14070,29904,30170,14599,13544,"30.9134","1","0","0","12","0913",,"225"
"120914",,"Sydney Mines","2","2",12353,5940,5552,12823,12823,5913,5611,"18.1081","0","0","0","12","0914",,"225"
"120955",,"Truro","1","2",23583,11368,10884,22954,23205,11373,10590,"31.5152","1","0","0","12","0955",,"215"
"121030",,"Windsor","4","2",5514,2549,2416,5248,5248,2367,2214,"10.5629","0","0","0","12","1030",,
"121037",,"Wolfville","4","2",5057,2856,2441,4195,4195,2585,1972,"6.4557","0","0","0","12","1037",,
"121043",,"Yarmouth","4","2",7848,4004,3668,7217,7527,3890,3511,"16.8111","1","0","0","12","1043",,
"121267",,"Lake Echo","2","2",2365,1031,1008,2515,2515,1075,1041,"4.7633","0","0","0","12","1267",,"205"
"121343",,"Hayes Subdivision","4","2",1044,435,429,1121,1121,437,434,"1.0975","0","0","0","12","1343",,
"121353",,"Brookside","2","2",1439,579,562,1441,1441,567,548,"2.8107","0","0","0","12","1353",,"205"
"121394",,"Still Water Lake","2","2",3379,1153,1138,1586,3447,1142,1122,"8.2267","1","0","0","12","1394",,"205"
"121446",,"Centreville","2","2",1159,511,500,1129,1129,491,478,"2.3645","0","0","0","12","1446",,"210"
"121447",,"Enfield - Lantz","2","2",6583,2806,2724,6807,6807,2776,2698,"11.674","0","0","0","12","1447",,"205"
"121449",,"Eskasoni 3","2","2",2575,812,776,2120,2352,748,711,"5.7011","1","0","0","12","1449",,"225"
"121450",,"Port Williams","2","2",1030,450,433,1120,1120,461,452,"1.9154","0","0","0","12","1450",,"210"
"121574",,"Howie Centre","2","2",1106,501,490,1733,1157,503,500,"1.6702","1","0","0","12","1574",,"225"
"121578",,"Indian Brook 14","2","2",2332,965,949,,655,221,214,"3.8913","1","0","0","12","1578",,"205"
"130045",,"Bathurst","1","2",15985,8360,7631,15557,15867,8209,7398,"27.915","1","0","0","13","0045",,"328"
"130105",,"Bouctouche","4","2",1944,936,860,1722,1845,950,854,"4.8285","1","0","0","13","0105",,
"130122",,"Campbellton","1","2",8833,4474,4156,8780,8790,4366,4010,"17.8032","1","0","0","13","0122",,"330"
"130134",,"Caraquet","4","2",3190,1579,1490,3108,3185,1528,1444,"7.7219","1","0","0","13","0134",,
"130214",,"Dalhousie","4","2",2372,1276,1150,2351,2351,1294,1145,"2.5576","0","0","0","13","0214",,
"130253",,"Edmundston","1","2",13125,6629,6260,12086,12945,6452,6034,"19.061","1","0","0","13","0253",,"335"
"130305",,"Fredericton","1","3",64614,30406,28989,59405,61014,29490,26994,"89.6047","1","0","0","13","0305",,"320"
"130331",,"Grand Falls / Grand-Sault","4","2",4349,2262,2127,4221,4490,2260,2117,"7.1746","1","0","0","13","0331",,
"130350",,"Hampton","2","2",3499,1421,1370,3436,3436,1336,1298,"7.7274","0","0","0","13","0350",,"310"
"130539",,"Moncton","1","4",119785,54519,51830,108620,109075,51406,47420,"110.7279","1","0","0","13","0539",,"305"
"130612",,"Oromocto","4","2",8585,3708,3483,8805,8810,3713,3283,"10.0022","1","0","0","13","0612",,
"130732",,"Sackville","4","2",3798,2085,1758,2963,3053,1961,1378,"5.9984","1","0","0","13","0732",,
"130734",,"Saint John","1","3",63447,31074,29108,58341,61152,30940,27510,"70.047","1","0","0","13","0734",,"310"
"130735",,"Salisbury","2","2",1546,662,641,1534,1534,678,638,"2.6961","0","0","0","13","0735",,"305"
"130753",,"Shediac","4","2",8563,4579,3927,7184,7712,4322,3442,"14.0583","1","0","0","13","0753",,
"130760",,"Shippagan","4","2",2189,1043,979,2130,2130,1013,908,"2.8378","0","0","0","13","0760",,
"130784",,"Saint Andrews","4","2",1715,920,789,1501,1511,848,690,"2.5504","1","0","0","13","0784",,
"130797",,"Saint-Quentin","4","2",2141,1015,976,2194,2194,989,965,"4.242","0","0","0","13","0797",,
"130798",,"St. Stephen","4","2",3389,1752,1598,3233,3233,1684,1495,"3.5738","0","0","0","13","0798",,
"130907",,"Sussex","4","2",5447,2706,2533,5298,5308,2640,2461,"10.6499","1","0","0","13","0907",,
"130946",,"Tracadie-Sheila","4","2",4528,2170,2072,3184,4322,2047,1865,"9.6798","1","0","0","13","0946",,
"131038",,"Woodstock","4","2",4602,2153,2041,4277,4332,2010,1872,"4.498","1","0","0","13","1038",,
"131105",,"Chatham - Douglastown","1","2",11594,5759,5399,11329,11364,5548,5181,"27.7759","1","0","0","13","1105",,"329"
"131158",,"St. Leonard","4","2",1043,506,453,1099,1119,529,482,"2.0091","1","0","0","13","1158",,
"131352",,"McEwen","2","2",1445,746,725,1462,1462,753,731,"0.8295","0","0","0","13","1352",,"305"
"131395",,"Starlight Village","2","2",2222,767,762,2127,2193,736,733,"5.2712","1","0","0","13","1395",,"320"
"131451",,"New Maryland","2","2",2179,793,788,2219,2219,780,775,"2.7019","0","0","0","13","1451",,"320"
"131452",,"Quispamsis - Rothesay","6","2",24881,9753,9523,24445,24549,9352,9089,"37.0521","1","0","0","13","1452",,"310"
"131453",,"Richibucto 15","4","2",1464,555,541,1053,1435,566,553,"2.5156","1","0","0","13","1453",,
"131454",,"Saint-Antoine","4","2",1383,593,567,1252,1353,591,558,"2.5668","1","0","0","13","1454",,
"131455",,"Wells","2","2",1263,467,460,1266,1266,467,456,"2.8775","0","0","0","13","1455",,"310"
"240002",,"Acton Vale","4","2",5220,2466,2394,5399,5617,2572,2472,"5.5772","1","0","0","24","0002",,
"240005",,"Alençon","4","2",1585,755,721,1562,1567,716,692,"2.9775","1","0","0","24","0005",,
"240009",,"Alma","1","2",20274,9987,9533,21406,21490,10181,9789,"15.9366","1","0","0","24","0009",,"410"
"240015",,"Amos","1","2",9281,4794,4542,10005,10005,4787,4572,"8.4278","0","0","0","24","0015",,"481"
"240016",,"Amqui","4","2",4560,2329,2219,4511,4729,2314,2241,"6.5328","1","0","0","24","0016",,
"240023",,"Asbestos","4","2",5623,2933,2805,5205,5388,2746,2595,"5.1715","1","0","0","24","0023",,
"240036",,"Baie-Comeau","2","2",9100,4487,4221,9610,9610,4523,4286,"11.2833","0","0","0","24","0036",,"406"
"240037",,"Baie-Saint-Paul","4","2",4308,2171,2068,4868,4868,2525,2301,"4.0281","0","0","0","24","0037",,
"240041",,"Barraute","4","2",1090,542,523,1099,1099,515,506,"1.3234","0","0","0","24","0041",,
"240047",,"Beauceville","4","2",3598,1743,1655,3769,3769,1784,1718,"6.0727","0","0","0","24","0047",,
"240050",,"Beaupré","4","2",6342,3560,2923,5889,6053,3155,2661,"11.2097","1","0","0","24","0050",,
"240054",,"Gentilly","2","2",1634,901,848,1673,1673,903,846,"1.6046","0","0","0","24","0054",,"442"
"240056",,"Bedford","4","2",2548,1319,1228,2550,2555,1277,1206,"3.8592","1","0","0","24","0056",,
"240063",,"Beloeil","6","3",52959,22212,21811,50845,51132,21043,20616,"26.4989","1","0","0","24","0063",,"462"
"240067",,"Berthierville","4","2",4677,2307,2241,4715,4715,2319,2178,"5.1053","0","0","0","24","0067",,
"240079",,"Saint-Martin","4","2",1672,784,731,1582,1592,754,719,"3.3684","1","0","0","24","0079",,
"240081",,"Bonaventure","4","2",1447,741,717,1439,1439,692,664,"2.8488","0","0","0","24","0081",,
"240111",,"Cabano","4","2",2419,1244,1150,2438,2456,1243,1115,"3.0157","1","0","0","24","0111",,
"240129",,"Cap-aux-Meules","4","2",2516,1173,1130,2028,2569,1153,1095,"6.1687","1","0","0","24","0129",,
"240149",,"Causapscal","4","2",1013,556,510,1041,1041,539,494,"1.7749","0","0","0","24","0149",,
"240154",,"Chandler","4","2",2189,1136,1082,2285,2285,1124,1064,"1.9262","0","0","0","24","0154",,
"240156",,"Chapais","4","2",1289,625,572,1318,1318,661,589,"1.0331","0","0","0","24","0156",,
"240162",,"Château-Richer","2","2",2482,1123,1073,1503,2396,1031,991,"3.538","1","0","0","24","0162",,"421"
"240175",,"Chibougamau","4","2",6491,3200,2895,6862,6862,3215,2994,"6.0037","0","0","0","24","0175",,
"240176",,"Chicoutimi - Jonquière","1","4",103934,52088,49552,104222,104741,51177,48659,"94.5621","1","0","0","24","0176",,"408"
"240186",,"Clermont","4","2",2693,1309,1258,2765,2765,1330,1258,"3.7232","0","0","0","24","0186",,
"240189",,"Coaticook","4","2",6333,3093,2975,6524,6524,3042,2968,"8.695","0","0","0","24","0189",,
"240201",,"Contrecoeur","4","2",7768,3446,3346,6236,6273,2895,2800,"6.2493","1","0","0","24","0201",,
"240208",,"Cowansville","1","2",13334,6684,6427,11809,12028,5839,5573,"16.3549","1","0","0","24","0208",,"437"
"240209",,"Crabtree","4","2",2802,1209,1172,3004,3025,1339,1308,"2.0199","1","0","0","24","0209",,
"240220",,"Dégelis","4","2",1751,934,876,1798,1798,942,878,"2.1679","0","0","0","24","0220",,
"240230",,"Disraeli","4","2",2228,1266,1175,2212,2212,1245,1150,"2.5929","0","0","0","24","0230",,
"240231",,"Dolbeau","1","2",10849,5346,5017,11388,11494,5234,5072,"10.4881","1","0","0","24","0231",,"411"
"240233",,"Donnacona","4","2",8952,4145,4015,8418,8564,3911,3817,"9.7827","1","0","0","24","0233",,
"240240",,"Drummondville","1","3",72089,34938,33834,68601,68634,32574,31331,"52.3043","1","0","0","24","0240",,"447"
"240250",,"East Angus","4","2",3678,1640,1578,3472,3502,1570,1528,"4.8953","1","0","0","24","0250",,
