fac_set,cihi_name_raw,cihi_name_raw_clean,cihi_type,match_status
753,Hôpital Montfort Corporation (Ont.),Hospital Montfort,Teaching,unmatched
959,Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.),Health Sciences North Corporation / Association Horizon Sante-Nord,Teaching,unmatched
745,Orillia Soldiers' Mem. Hosp. Corp. — Orillia Soldiers’ Mem. Hosp. (Ont.),Orillia Soldiers' Mem. Hosp.,Community—Medium,unmatched
800,Hôpital général de Hawkesbury & District General Hospital (Ont.),Hospital general de Hawkesbury & District General Hospital,Community—Medium,unmatched
802,Hôpital Glengarry Memorial Hospital (Ont.),Hospital Glengarry Memorial Hospital,Community—Small,unmatched
627,Services de santé de Chapleau Health Services (Ont.),Services de sante de Chapleau Health Services,Community—Small,unmatched
681,Hôpital Notre-Dame Hospital (Ont.),Hospital Notre-Dame Hospital,Community—Small,unmatched
724,Hôpital de Mattawa Hospital (Ont.),Hospital de Mattawa Hospital,Community—Small,unmatched
809,Hôpital de Smooth Rock Falls Hospital (Ont.),Hospital de Smooth Rock Falls Hospital,Community—Small,unmatched
719,Santé Manitouwadge Health (Ont.),Sante Manitouwadge Health,Community—Small,unmatched
