cihi_name_raw_clean,fac_set,override_reason,notes
Alexandra Hospital,655|633,alliance,also 663
Alexandra Hospital,655|633,Branding Plus ont pus partnership,CIHI raw: Alexandra Hospital (Ont.)
Brightshores Health System,955,rebranding,Was grey bruce health system
Brightshores Health System,955,rebranding,CIHI raw: Brightshores Health System (Ont.)
Health Sciences North Corporation / Association Horizon Sante-Nord,959,Branding Plus ont,corporate names
Health Sciences North Corporation / Association Horizon Sante-Nord,959,Branding Plus ont,CIHI raw: Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.)
Hopital de Mattawa Hospital,724,manual,Common unsafe name
Hopital de Mattawa Hospital,674,Spelling French plus ont,CIHI raw: Hôpital de Mattawa Hospital (Ont.)
Hopital de Smooth Rock Falls Hospital,809,manual,Common unsafe name
Hopital de Smooth Rock Falls Hospital,809,Spelling French plus ont,CIHI raw: Hôpital de Smooth Rock Falls Hospital (Ont.)
Hopital general de Hawkesbury & District General Hospital,800,manual,Common unsafe name
Hopital general de Hawkesbury & District General Hospital,800,Spelling French plus ont,CIHI raw: Hôpital général de Hawkesbury & District General Hospital (Ont.)
Hopital Glengarry Memorial Hospital,802,manual,Common unsafe name
Hopital Glengarry Memorial Hospital,802,Spelling French plus ont,CIHI raw: Hôpital Glengarry Memorial Hospital (Ont.)
Hopital Montfort,753,manual,Common unsafe name
Hopital Montfort,753,Spelling French plus ont,CIHI raw: Hôpital Montfort Corporation (Ont.)
Hopital Notre-Dame Hospital,681,manual,Common unsafe name
Hopital Notre-Dame Hospital,681,Spelling French plus ont,CIHI raw: Hôpital Notre-Dame Hospital (Ont.)
Hospital for Sick Children,837,manual,Common unsafe name
Hospital for Sick Children,837,spelling error(Ont),CIHI raw: Hospital for Sick Children (Ont.)
Humber River Health,941,manual,Common unsafe name
Humber River Health,947,spelling error(Ont),CIHI raw: Humber River Health (Ont.)
MICs Group of Health Services,723,manual,Common unsafe name
MICs Group of Health Services,685|638,Partnership,CIHI raw: MICs Group of Health Services (Ont.)
Middlesex Hospital Alliance,814|593,Partnership,Strathroy and Four Counties
Middlesex Hospital Alliance,814|593,spelling error(Ont),CIHI raw: Middlesex Hospital Alliance (Ont.)
North of Superior Healthcare Group,977,manual,Common unsafe name
North of Superior Healthcare Group,977,Branding Plus ont,CIHI raw: North of Superior Healthcare Group (Ont.)
North Shore Health Network,611,manual,Common unsafe name
North Shore Health Network,611,Branding Plus ont,CIHI raw: North Shore Health Network (Ont.)
North Wellington Health Care,963|656,Partnership,mergers
North Wellington Health Care,963|656,partnership,CIHI raw: North Wellington Health Care Corporation (Ont.)
Orillia Soldiers' Mem. Hosp.,745,manual,corporate names
Orillia Soldiers' Mem. Hosp.,745,spelling error,CIHI raw: Orillia Soldiers' Mem. Hosp. Corp. — Orillia Soldiers’ Mem. Hosp. (Ont.)
Quinte Health,957,manual,corporate names
Quinte Health,957,spelling error(Ont),CIHI raw: Quinte Health (Ont.)
Riverside Health Care Facilities,900,rebrand,Common unsafe name
Riverside Health Care Facilities,900,Branding Plus ont,CIHI raw: Riverside Health Care Facilities Inc. (Ont.)
Sante Manitouwadge Health,719,manual,Common unsafe name
Sante Manitouwadge Health,719,Spelling French plus ont,CIHI raw: Santé Manitouwadge Health (Ont.)
Scarborough Health Network,979,merger,Common unsafe name
Scarborough Health Network,979,spelling error(Ont),CIHI raw: Scarborough Health Network (Ont.)
Services de sante de Chapleau Health Services,627,French Language,Common unsafe name
Services de sante de Chapleau Health Services,627,French Language,CIHI raw: Services de santé de Chapleau Health Services (Ont.)
South Huron Hospital,655|633,ALLIANCE,also 663
South Huron Hospital,655|633,Branding Plus ont pus partnership,CIHI raw: South Huron Hospital (Ont.)
St. Joseph's General Hospital,650,manual,Common unsafe name
St. Joseph's General Hospital,650,Branding Plus ont,CIHI raw: St. Joseph’s General Hospital [Elliot Lake] (Ont.)
St. Joseph's Health Care London,714,manual,Common unsafe name
St. Joseph's Health Care London,714,spelling error,CIHI raw: St. Joseph’s Health Care London (Ont.)
St. Joseph's Healthcare Hamilton,674,manual,Common unsafe name
St. Joseph's Healthcare Hamilton,674,spelling error,CIHI raw: St. Joseph’s Healthcare Hamilton (Ont.)
St. Mary's General Hospital,792,manual,Common unsafe name
St. Mary's General Hospital,792,spelling error(Ont),CIHI raw: St. Mary’s General Hospital Corporation (Ont.)
University Health Network,947,rebranding,Common unsafe name
University Health Network,947,spelling error(Ont),CIHI raw: University Health Network (Ont.)
