cihi_name_norm,fac_set,override_reason,notes
NORTH SHORE HEALTH NETWORK,611,merger,"Previous Thessalon, richards landing, blind river"
ST JOSEPH S GENERAL HOSPITAL ELLIOT LAKE,650,manual,Common unsafe name
SOUTH HURON HOSPITAL,655,ALLIANCE,also 663
ALEXANDRA HOSPITAL,663,ALLIANCE,also 655
ST JOSEPH S HEALTHCARE HAMILTON,674,manual,Common unsafe name
H PITAL NOTRE DAME HOSPITAL,681,manual,Common unsafe name
ST JOSEPH S HEALTH CARE LONDON,714,manual,Common unsafe name
MICS GROUP OF HEALTH SERVICES,723,merger,
H PITAL DE MATTAWA HOSPITAL,724,manual,Common unsafe name
ORILLIA SOLDIERS MEM HOSP CORP ORILLIA SOLDIERS MEM HOSP,745,manual,corporate names
H PITAL MONTFORT,753,manual,Common unsafe name
PETERBOROUGH REG HCTR CORP PETERBOROUGH REGIONAL HEALTH CENTRE,771,manual,corporate names
ST MARY S GENERAL HOSPITAL,792,manual,Common unsafe name
H PITAL G N RAL DE HAWKESBURY DISTRICT GENERAL HOSPITAL,800,manual,Common unsafe name
H PITAL GLENGARRY MEMORIAL HOSPITAL,802,manual,Common unsafe name
H PITAL DE SMOOTH ROCK FALLS HOSPITAL,809,manual,Common unsafe name
MIDDLESEX HOSPITAL ALLIANCE,814|593,Partnership,Also 593
HOSPITAL FOR SICK CHILDREN,837,manual,
RIVERSIDE HEALTH CARE FACILITIES,900,rebrand,
HUMBER RIVER HEALTH,941,manual,old rebrandng
BRIGHTSHORES HEALTH SYSTEM,955,rebrand,Previous merger
QUINTE HEALTH,957,manual,short and unsafe
UNIVERSITY HEALTH NETWORK,947,manual,"branding, common name"
HEALTH SCIENCES NORTH CORPORATION ASSOCIATION HORIZON SANT NORD,959,manual,corporate names
NORTH WELLINGTON HEALTH CARE,963|656,Partnership,
NORTH OF SUPERIOR HEALTHCARE GROUP,977,merger,
SCARBOROUGH HEALTH NETWORK,979,merger,
