facility_name,facility_name_norm,city,sactype_value,CSDuid,CSDname
Alexandra Hospital,ALEXANDRA HOSPITAL,ingersoll,3,3532018,Ingersoll
Alexandra Marine and General Hospital,ALEXANDRA MARINE AND GENERAL HOSPITAL,goderich,6,3540028,Goderich
Alexandra Marine and General Hospital of Goderich,ALEXANDRA MARINE AND GENERAL HOSPITAL OF GODERICH,goderich,6,3540028,Goderich
Algoma Family Services,ALGOMA FAMILY SERVICES,sault ste marie,2,3557061,Sault Ste. Marie
Almonte General Hospital,ALMONTE GENERAL HOSPITAL,almonte,1,3509030,Mississippi Mills
Anson General Hospital,ANSON GENERAL HOSPITAL,iroquois falls,5,3556031,Iroquois Falls
Arnprior Regional Health — Arnprior & District Memorial Hospital,ARNPRIOR REGIONAL HEALTH ARNPRIOR DISTRICT MEMORIAL HOSPITAL,arnprior,1,3547002,Arnprior
Atikokan General Hospital,ATIKOKAN GENERAL HOSPITAL,atikokan,6,3559001,Atikokan
BROCKVILLE GENERAL - ST. VINCENT DE PAUL,BROCKVILLE GENERAL ST VINCENT DE PAUL,brockville,3,3507015,Brockville
Belleville General Hospital,BELLEVILLE GENERAL HOSPITAL,belleville,1,3512005,Belleville
Bingham Memorial Hospital,BINGHAM MEMORIAL HOSPITAL,matheson,5,3556014,Black River-Matheson
Blind River District Health Centre,BLIND RIVER DISTRICT HEALTH CENTRE,blind river,5,3557038,Blind River
Bluewater Health,BLUEWATER HEALTH,sarnia,2,3538030,Sarnia
Bluewater Health - Petrolia (Charlotte Eleanor Englehart Hospital),BLUEWATER HEALTH PETROLIA CHARLOTTE ELEANOR ENGLEHART HOSPITAL,petrolia,4,3538019,Petrolia
Brant Community Healthcare System - Brantford General Hospital Site,BRANT COMMUNITY HEALTHCARE SYSTEM BRANTFORD GENERAL HOSPITAL SITE,brantford,1,3529006,Brantford
Brockville General Hospital,BROCKVILLE GENERAL HOSPITAL,brockville,3,3507015,Brockville
Brockville General Hospital — Elmgrove Site,BROCKVILLE GENERAL HOSPITAL ELMGROVE SITE,brockville,NA,NA,Brockville
Cambridge Memorial Hospital,CAMBRIDGE MEMORIAL HOSPITAL,cambridge,1,3530010,Cambridge
Campbellford Memorial Hospital,CAMPBELLFORD MEMORIAL HOSPITAL,campbellford,4,3514045,Trent Hills
Carleton Place and District Memorial Hospital,CARLETON PLACE AND DISTRICT MEMORIAL HOSPITAL,carleton place,1,3509028,Carleton Place
Casey House Hospice,CASEY HOUSE HOSPICE,toronto,1,3520005,Toronto
Casselman Satellite Centre,CASSELMAN SATELLITE CENTRE,casselman,4,3502044,Casselman
Centre for Addiction and Mental Health,CENTRE FOR ADDICTION AND MENTAL HEALTH,toronto,1,3520005,Toronto
Centre for Addiction and Mental Health - Brentcliffe Rd. Site,CENTRE FOR ADDICTION AND MENTAL HEALTH BRENTCLIFFE RD SITE,toronto,1,3520005,Toronto
Centre for Addiction and Mental Health - College St. Site,CENTRE FOR ADDICTION AND MENTAL HEALTH COLLEGE ST SITE,toronto,1,3520005,Toronto
Centre for Addiction and Mental Health - Russell St. Site,CENTRE FOR ADDICTION AND MENTAL HEALTH RUSSELL ST SITE,toronto,1,3520005,Toronto
Chatham-Kent Health Alliance,CHATHAM KENT HEALTH ALLIANCE,chatham,3,3536020,Chatham-Kent
Chatham-Kent Health Alliance - Sydenham District Hospital Campus,CHATHAM KENT HEALTH ALLIANCE SYDENHAM DISTRICT HOSPITAL CAMPUS,wallaceburg,3,3536020,Chatham-Kent
Check Address for Confirmation,CHECK ADDRESS FOR CONFIRMATION,barrie,1,3543042,Barrie
Child and Parent Resource Institute,CHILD AND PARENT RESOURCE INSTITUTE,london,1,3539036,London
Children's Hospital of Eastern Ontario,CHILDREN S HOSPITAL OF EASTERN ONTARIO,ottawa,1,3506008,Ottawa
Collingwood General and Marine Hospital,COLLINGWOOD GENERAL AND MARINE HOSPITAL,collingwood,3,3543031,Collingwood
Cornwall Community Hospital - Mcconnell Ave.,CORNWALL COMMUNITY HOSPITAL MCCONNELL AVE,cornwall,3,3501012,Cornwall
Cosmetic Surgery Hospital,COSMETIC SURGERY HOSPITAL,woodbridge,1,3519028,Vaughan
Credit Valley Hospital,CREDIT VALLEY HOSPITAL,mississauga,1,3521005,Mississauga
Deep River and District Hospital,DEEP RIVER AND DISTRICT HOSPITAL,deep river,5,3547096,Deep River
Don Mills Surgical Unit,DON MILLS SURGICAL UNIT,north york,1,3520005,Toronto
Dryden Regional Health Centre,DRYDEN REGIONAL HEALTH CENTRE,dryden,6,3560027,Dryden
Emo Health Centre,EMO HEALTH CENTRE,emo,6,3559019,Emo
Englehart and District Hospital Inc.,ENGLEHART AND DISTRICT HOSPITAL INC,englehart,6,3554052,Englehart
Espanola General Hospital,ESPANOLA GENERAL HOSPITAL,espanola,5,3552026,Espanola
Four Counties Health Services Corporation,FOUR COUNTIES HEALTH SERVICES CORPORATION,newbury,4,3539002,Newbury
Georgetown Hospital,GEORGETOWN HOSPITAL,georgetown,1,3524015,Halton Hills
Geraldton District Hospital,GERALDTON DISTRICT HOSPITAL,geraldton,6,3558075,Greenstone
Grand River Hospital,GRAND RIVER HOSPITAL,kitchener,1,3530013,Kitchener
Grey Bruce Health Services (Corporate Headquarters) - Owen Sound,GREY BRUCE HEALTH SERVICES CORPORATE HEADQUARTERS OWEN SOUND,owen sound,3,3542059,Owen Sound
Grey Bruce Health Services - Lion's Head,GREY BRUCE HEALTH SERVICES LION S HEAD,lions head,5,3541069,Northern Bruce Peninsula
Grey Bruce Health Services - Markdale,GREY BRUCE HEALTH SERVICES MARKDALE,markdale,5,3542015,Grey Highlands
Grey Bruce Health Services - Meaford,GREY BRUCE HEALTH SERVICES MEAFORD,meaford,4,3542047,Meaford
Grey Bruce Health Services - Southampton,GREY BRUCE HEALTH SERVICES SOUTHAMPTON,southampton,5,3541045,Saugeen Shores
Grey Bruce Health Services - Wiarton,GREY BRUCE HEALTH SERVICES WIARTON,wiarton,5,3541055,South Bruce Peninsula
Groves Memorial Community Hospital,GROVES MEMORIAL COMMUNITY HOSPITAL,fergus,3,3523025,Centre Wellington
Guelph General Hospital,GUELPH GENERAL HOSPITAL,guelph,1,3523008,Guelph
